Time,X,Y,Z,Action
2019-06-14@18-05-07-6619, 3.00, 5.00, 5.00, Add
2019-06-14@18-05-08-5329, 4.00, 5.00, 5.00, Add
2019-06-14@18-05-09-0081, 5.00, 5.00, 5.00, Add
2019-06-14@18-05-10-4413, 5.00, 6.00, 5.00, Add
2019-06-14@18-05-12-0071, 4.00, 5.00, 5.00, Del
2019-06-14@18-05-12-3921, 5.00, 5.00, 5.00, Del
2019-06-14@18-12-04-8151, 3.00, 4.00, 5.00, Add
2019-06-14@18-12-05-5361, 4.00, 4.00, 5.00, Add
2019-06-14@18-12-06-0732, 5.00, 4.00, 5.00, Add
2019-06-14@18-12-06-9846, 5.00, 5.00, 5.00, Add
2019-06-14@18-12-07-6921, 5.00, 6.00, 5.00, Add
2019-06-14@18-12-08-2611, 6.00, 6.00, 5.00, Add
2019-06-18@13-59-47-9851, 3.00, 6.00, 5.00, Add
2019-06-18@13-59-48-8696, 4.00, 6.00, 5.00, Add
2019-06-18@13-59-49-3901, 5.00, 6.00, 5.00, Add
2019-06-18@13-59-49-9337, 5.00, 7.00, 5.00, Add
2019-06-18@13-59-52-2386, 5.00, 5.00, 5.00, Add
2019-06-18@13-59-53-9131, 5.00, 4.00, 5.00, Add
2019-06-18@14-00-02-0234, 5.00, 5.00, 6.00, Add
2019-06-18@14-00-31-9010, 6.00, 4.00, 5.00, Add
2019-06-18@14-00-43-0174, 5.00, 5.00, 7.00, Add
2019-06-18@14-01-08-1341, 6.00, 7.00, 3.00, Add
